"","logFC","logCPM","LR","PValue","FDR"
"TAX1BP3",0.0704710695602889,1.61378424265061,0.163441761310841,0.686007337495249,0.788457089087437
"CTC.523E23.4",-0.237696107874015,-2.33012489211533,0.163292902070741,0.686142740562648,0.788563065284006
"RP11.214K3.20",-0.40918582862852,-3.2262394043247,0.163166670033937,0.686257618085278,0.788645440235867
"RP13.20L14.4",-0.263251773138625,-2.5314933558245,0.162836927743545,0.686557944262817,0.788940908505459
"RP13.15E13.1",-0.204433863701191,-2.01716402865227,0.162789324380969,0.686601330158703,0.788941101658408
"HSCB",-0.0604488614337268,2.7375724332751,0.162710198286694,0.686673462321923,0.788974323683704
"RP1.122O8.7",0.388197244155376,-3.15709198770132,0.162592467070081,0.686780825066376,0.789048018225608
"RP4.800G7.2",-0.106261219341575,-0.282116759443298,0.16243015782782,0.686928914014802,0.78914083364543
"LA16c.431H6.6",0.292986890675047,-2.72454834988257,0.162384481549692,0.686970603993663,0.78914083364543
"AC009961.3",-0.171417282165732,-1.62066876512414,0.162361812605098,0.686991297085356,0.78914083364543
"DEPDC5",-0.0514280518858312,3.89428802328984,0.162287711111882,0.687058951519675,0.78916888944766
"RRP7B",-0.0540441556514171,3.32774592531334,0.162208786609356,0.68713102909255,0.789197197536808
"RP5.914P20.5",0.246407384287401,-2.40597493702433,0.162166056742738,0.687170060523011,0.789197197536808
"AC007228.9",0.173233019966126,-1.64422846879962,0.162116245808112,0.687215567672018,0.789199810509102
"FAM221A",0.0751310682011797,1.41026866082685,0.1619277318195,0.687387867189604,0.789327519942091
"RP11.304M2.2",-0.150273274805117,-1.28661755077208,0.161899969101254,0.687413251823575,0.789327519942091
"SEC61A2",-0.0591300826735543,2.93722327857077,0.16182194962475,0.687484601890608,0.78935186409217
"CDC42P6",0.103580498078111,-0.193965962498494,0.16178223045004,0.687520933391701,0.78935186409217
"RP11.771F20.1",0.319348429760991,-2.87255283831739,0.16164313055225,0.687648210232682,0.789426262314214
"NTN1",0.118687189483932,-0.642940800533332,0.161616895424271,0.687672222586723,0.789426262314214
"ARID3A",0.053324275204915,4.05654219233275,0.161235585272687,0.688021482055588,0.789777535994766
"NDUFS4",-0.0552284252650892,3.79282595049766,0.161153218255994,0.688096988758904,0.789814545384418
"GPA33",-0.16424473723434,-1.52917466017405,0.161055742718308,0.688186374554087,0.789867479879589
"C10orf25",-0.12814888580675,-0.860095450991387,0.160991521375227,0.688245283168182,0.789885429663974
"ZNF584",-0.0556177738190738,3.16601467438301,0.16089361720402,0.688335114443806,0.789907566943928
"OSTCP6",0.419598727917299,-3.26393576135613,0.160876184101599,0.688351113390524,0.789907566943928
"RP11.324I22.4",0.157945552517771,-1.43638960894445,0.160596955697669,0.688607507978987,0.790125191247071
"MDC1",0.0449565112757688,6.53540515187361,0.160575387043593,0.688627323623167,0.790125191247071
"RP11.689B22.2",0.342556972507975,-2.9879938267731,0.160401456345959,0.688787174436933,0.790212799320814
"RP5.902P8.10",0.264529749070905,-2.55212414685218,0.160398108033151,0.68879025268654,0.790212799320814
"RP11.410L14.2",0.124713966483243,-0.790585055147414,0.160151560166418,0.68901701738393,0.790423279855693
"NUP93",-0.0439629705119738,7.20010550467165,0.160084586020119,0.689078652451955,0.790444313215435
"RP11.440L14.1",0.109705999852407,-0.394282990345414,0.159885291733408,0.68926214781755,0.790578192176157
"GAB3",0.0570083206539641,2.79511174681755,0.159863762898051,0.689281977906092,0.790578192176157
"CHAF1B",0.045273024292688,5.43640585586194,0.159795204711305,0.689345136784841,0.790600959477745
"ME3",-0.054084052242274,3.39821429374131,0.159724596688014,0.689410200492736,0.790625908405258
"MSANTD3",-0.056665413300594,3.053417183798,0.159604750178656,0.689520674549402,0.790702928192684
"RP11.45P15.4",-0.374665635279933,-3.12495147021897,0.159388415515175,0.689720212851158,0.790828708394022
"RNU4.2",-0.235448784154805,-2.06695190084622,0.159325488198903,0.689778283923935,0.790828708394022
"CTD.2619J13.17",-0.135804585975872,-1.0763511549713,0.159260021873965,0.689838712176547,0.790828708394022
"SOS1.IT1",-0.119470829990058,0.863079074501283,0.15925518983898,0.689843172924602,0.790828708394022
"AC012066.1",0.260109744828598,-2.51851897668949,0.159251081820681,0.689846965350118,0.790828708394022
"SKP1",-0.0472064951830553,7.03335004468726,0.159114367756406,0.689973208904798,0.790884320642247
"SUDS3P1",-0.18349386664417,-1.80214134680326,0.159104714820974,0.689982124927331,0.790884320642247
"DDX28",-0.0505644003031908,4.09282313097761,0.159019245931154,0.690061082732986,0.790925162635189
"MTND2P28",-0.106432560478579,-0.29913916276696,0.1588757811207,0.690193673591844,0.791027468070009
"KLF1",-0.157039419459696,-1.43958114183014,0.158764847389263,0.690296246643418,0.791080199974668
"IRGM",-0.108659184658046,-0.356364263066002,0.158732294914329,0.690326353634427,0.791080199974668
"KIAA0040",0.0443933441107455,5.45886933338427,0.158527243190054,0.69051608326192,0.791247950533322
"C9orf66",-0.18329372580783,-1.8036944012088,0.158452922265365,0.690584885797464,0.791277120903383
"RP11.686D22.3",0.231125486180548,-2.30147645948886,0.158391378966234,0.690641873605996,0.791292751062415
"RAB3A",0.0660886942312205,1.82898462120322,0.158123507832844,0.690890066180717,0.791527435554725
"SNORA76",-0.103758405398257,-0.199736435898744,0.157740270269354,0.691245573737118,0.791885029718926
"AC093627.9",0.385495956818923,-3.16860522773736,0.157684829716916,0.691297044149149,0.791894298502931
"HIST1H2BI",-0.193856355481924,-1.8978097107969,0.157487385814511,0.69148043406982,0.792054673021558
"CTC.428H11.2",-0.193955797195305,-1.93904538877331,0.157324046733047,0.691632247336051,0.792178860278555
"RP11.640M9.2",0.05875133705948,2.52752822797965,0.157021117771085,0.691914042108185,0.792451900287654
"ZNF415",0.173041119288244,-1.68051511190102,0.156942101898916,0.691987597056583,0.792478397105961
"ENPP2",0.20746172607063,-2.08654941471498,0.156903004324207,0.692024000452815,0.792478397105961
"SLC44A5",-0.1518271583169,-1.37160394177902,0.156820949210646,0.692100418288523,0.792493343958415
"NEXN",0.0874821077271224,0.412971908742441,0.156794253369665,0.69212528508153,0.792493343958415
"GS1.124K5.2",-0.166052813740466,-1.58707528605652,0.156749164968007,0.692167289842398,0.792493343958415
"TOB1.AS1",0.112162482640584,-0.502099813361678,0.156676484856085,0.692235014002743,0.792521177837571
"ZNF720",0.0591400389291941,3.11952840498596,0.156575247355217,0.692329378552125,0.792579506175156
"KB.1507C5.2",0.15651189705551,-1.28597454392471,0.156334833761356,0.692553612086298,0.792753580294891
"DNPEP",0.0449673519134521,6.07336022807689,0.156319106257634,0.692568288060418,0.792753580294891
"HIST1H2BH",0.0790720715754751,0.929535744683139,0.156261347014128,0.69262219288814,0.792765573463728
"TM4SF19.AS1",-0.275092917714829,-2.65264644491928,0.155860359953261,0.692996739050676,0.793144543659567
"RBL1.1",0.213059055915156,-2.15107712127234,0.155688371778147,0.693157557067763,0.793231006457753
"PRELID1P1",0.119243410277501,-0.683772429005369,0.155686625896235,0.69315919008568,0.793231006457753
"SNUPN",-0.0497086596058506,4.06371564496763,0.155607534932234,0.693233179248825,0.793265685219186
"KLF11",-0.0622250436238544,2.31297557039985,0.155539397950901,0.693296938446667,0.793265685219186
"C3orf35",-0.162939469922425,-1.52964066205601,0.155514908933207,0.693319857993542,0.793265685219186
"SLC26A11",0.184074149078937,-1.83348688201688,0.155442291544625,0.693387833685325,0.793293739278366
"RP11.368I7.4",0.232926192996967,-2.33789346687762,0.155180147410478,0.693633374354634,0.793524926292151
